Date,Time,Currency,Impact,Title,Actual,Forecast,Previous,Alerts
01-01-2018,0:01,CAD,N,Bank Holiday [All Day],,,,
01-01-2018,0:01,CHF,N,Bank Holiday [All Day],,,,
01-01-2018,0:01,EUR,N,French Bank Holiday [All Day],,,,
01-01-2018,0:01,EUR,N,German Bank Holiday [All Day],,,,
01-01-2018,0:01,EUR,N,Italian Bank Holiday [All Day],,,,
01-01-2018,0:01,GBP,N,Bank Holiday [All Day],,,,
01-01-2018,0:01,JPY,N,Bank Holiday [All Day],,,,
01-01-2018,0:01,NZD,N,Bank Holiday [All Day],,,,
01-01-2018,0:01,USD,N,Bank Holiday [All Day],,,,
01-01-2018,18:30,AUD,L,AIG Manufacturing Index,56.2,,57.3,
01-01-2018,21:45,CNY,M,Caixin Manufacturing PMI,51.5,50.7,50.8,
01-02-2018,0:01,CHF,N,Bank Holiday [All Day],,,,
01-02-2018,0:01,JPY,N,Bank Holiday [All Day],,,,
01-02-2018,1:30,AUD,L,Commodity Prices y/y,-5.90%,,-4.00%,-3.30%
01-02-2018,4:15,EUR,L,Spanish Manufacturing PMI,55.8,56.4,56.1,
01-02-2018,4:45,EUR,L,Italian Manufacturing PMI,57.4,58.6,58.3,
01-02-2018,4:50,EUR,L,French Final Manufacturing PMI,58.8,59.3,59.3,
01-02-2018,4:55,EUR,L,German Final Manufacturing PMI,63.3,63.3,63.3,
01-02-2018,5:00,EUR,L,Final Manufacturing PMI,60.6,60.6,60.6,
01-02-2018,5:30,GBP,H,Manufacturing PMI,56.3,58,58.2,
01-02-2018,5:36,GBP,L,Housing Equity Withdrawal q/q,-5.9B,-6.2B,-5.8B,-4.1B
01-02-2018,10:25,NZD,M,GDT Price Index,2.20%,,-3.90%,
01-02-2018,10:30,CAD,L,Manufacturing PMI,54.7,,54.4,
01-02-2018,10:45,USD,L,Final Manufacturing PMI,55.1,55,55,
01-03-2018,0:01,USD,L,Total Vehicle Sales [All Day],17.9M,17.5M,17.5M,
01-03-2018,4:00,EUR,M,Spanish Unemployment Change,-61.5K,-58.7K,7.3K,
01-03-2018,4:30,CHF,L,Manufacturing PMI,65.2,64.6,65.1,
01-03-2018,4:55,EUR,L,German Unemployment Change,-29K,-13K,-20K,-18K
01-03-2018,5:30,GBP,H,Construction PMI,52.2,52.8,53.1,
01-03-2018,11:00,USD,H,ISM Manufacturing PMI,59.7,58.1,58.2,
01-03-2018,11:00,USD,L,Construction Spending m/m,0.80%,0.60%,0.90%,1.40%
01-03-2018,11:00,USD,L,ISM Manufacturing Prices,69,64.8,65.5,
01-03-2018,15:00,USD,H,FOMC Meeting Minutes,,,,
01-03-2018,18:30,AUD,L,AIG Services Index,52,,51.7,
01-03-2018,20:30,JPY,L,Final Manufacturing PMI,54,54.2,54.2,
01-03-2018,21:45,CNY,M,Caixin Services PMI,53.9,51.8,51.9,
01-04-2018,2:57,GBP,L,Nationwide HPI m/m,0.60%,0.10%,0.10%,
01-04-2018,4:15,EUR,L,Spanish Services PMI,54.6,54.7,54.4,
01-04-2018,4:45,EUR,L,Italian Services PMI,55.4,54.7,54.7,
01-04-2018,4:50,EUR,L,French Final Services PMI,59.1,59.4,59.4,
01-04-2018,4:55,EUR,L,German Final Services PMI,55.8,55.8,55.8,
