"2007.01.16","05:30","GBP","H","CPI y/y","3.0%","2.8%","2.7%","","03348"
"2007.02.13","05:30","GBP","H","CPI y/y","2.7%","2.9%","3.0%","","03604"
"2007.03.20","05:30","GBP","H","CPI y/y","2.8%","2.7%","2.7%","","03920"
"2007.04.17","04:30","GBP","H","CPI y/y","3.1%","2.8%","2.8%","","04154"
"2007.05.15","04:30","GBP","H","CPI y/y","2.8%","2.8%","3.1%","","04416"
"2007.06.12","04:30","GBP","H","CPI y/y","2.5%","2.6%","2.8%","","04683"
"2007.07.17","04:30","GBP","H","CPI y/y","2.4%","2.3%","2.5%","","04992"
"2007.08.14","04:30","GBP","H","CPI y/y","1.9%","2.3%","2.4%","","05239"
"2007.09.18","04:30","GBP","H","CPI y/y","1.8%","1.9%","1.9%","","05551"
"2007.10.16","04:30","GBP","H","CPI y/y","1.8%","1.9%","1.8%","","05839"
"2007.11.13","05:30","GBP","H","CPI y/y","2.1%","1.9%","1.8%","","06097"
"2007.12.18","05:30","GBP","H","CPI y/y","2.1%","2.2%","2.1%","","06456"
"2008.01.15","05:30","GBP","H","CPI y/y","2.1%","2.0%","2.1%","","06726"
"2008.02.12","05:30","GBP","H","CPI y/y","2.2%","2.3%","2.1%","","06952"
"2008.03.18","05:30","GBP","H","CPI y/y","2.5%","2.5%","2.2%","","07326"
"2008.04.15","04:30","GBP","H","CPI y/y","2.5%","2.6%","2.5%","","07588"
"2008.05.13","04:30","GBP","H","CPI y/y","3.0%","2.6%","2.5%","","08015"
"2008.06.17","04:30","GBP","H","CPI y/y","3.3%","3.2%","3.0%","","08703"
"2008.07.15","04:30","GBP","H","CPI y/y","3.8%","3.6%","3.3%","","08710"
"2008.08.12","04:30","GBP","H","CPI y/y","4.4%","4.1%","3.8%","","08705"
"2008.09.16","04:30","GBP","H","CPI y/y","4.7%","4.6%","4.4%","","08713"
"2008.10.14","04:30","GBP","H","CPI y/y","5.2%","5.0%","4.7%","","08728"
"2008.11.18","05:30","GBP","H","CPI y/y","4.5%","4.8%","5.2%","","08733"
